Question,Equation,Answer,Numbers
Mary ’ s car gets N_00 miles per gallon of gas . How far can she drive on N_01 gallons of gas ?,N_00 * N_01,280.0,20.0 14.0
Roger had N_00 dollars . For his birthday he got N_01 more dollars but spent N_02 on a new game . How much money does he have now ?,N_00 + N_01 - N_02,19.0,16.0 28.0 25.0
"A trivia team had N_00 members total , but during a game N_01 members did n't show up . If each member that did show up scored N_02 points , how many points were scored total ?",N_02 * ( N_00 - N_01 ),18.0,5.0 2.0 6.0
"Katie 's team won their dodgeball game and scored N_00 points total . If Katie scored N_01 of the points and everyone else scored N_02 points each , how many players were on her team ?",( N_00 - N_01 ) / N_01,2.0,12.0 4.0 4.0
"Sam invited N_00 friends to a birthday party , but N_01 could n't come . If he wanted to buy enough cupcakes so each person could have exactly N_02 , how many should he buy ?",N_02 * ( N_00 - N_01 ),6.0,9.0 6.0 2.0
Larry starts with N_00 stickers . He loses N_01 . How many stickers does Larry end with ?,N_00 - N_01,87.0,93.0 6.0
"Julian is writing a comic book . His story has N_00 frames in all . If he wants to put exactly N_01 frames on each page , how many pages would he have ?",N_00 / N_01,13.0,143.0 11.0
"At lunch a waiter had N_00 customers and N_01 of them did n't leave a tip . If he got $ N_02 each from the ones who did tip , how much money did he earn ?",N_02 * ( N_00 - N_01 ),27.0,7.0 4.0 9.0
Each bottle cap costs $ N_00 . How much do N_01 bottle caps cost ?,N_00 * N_01,12.0,2.0 6.0
There are N_00 pencils in the drawer and N_01 pencils on the desk . Dan placed N_02 more pencils on the desk . How many pencils are now there in total ?,N_00 + N_01 + N_02,78.0,43.0 19.0 16.0
Jennifer has N_00 cards . N_01 are eaten by a hippopotamus . How many cards will Jennifer have ?,N_00 - N_01,11.0,72.0 61.0
"Each chocolate bar in a box cost $ N_00 . If a box had N_01 bars total and Olivia sold all but N_02 bars , how much money would she have made ?",N_00 * ( N_01 - N_02 ),9.0,3.0 7.0 4.0
"Sally found N_00 seashells , Tom found N_01 seashells , and Jessica found N_02 seashells on the beach . How many seashells did they find together ?",N_00 + N_01 + N_02,21.0,9.0 7.0 5.0
"Diane is a beekeeper . Last year , she harvested N_00 pounds of honey . This year , she bought some new hives and increased her honey harvest by N_01 pounds . How many pounds of honey did Diane harvest this year ?",N_00 + N_01,8564.0,2479.0 6085.0
You go out for a long walk . You walk N_00 mile and then sit down to take a rest . Then you walk N_01 of a mile . How far did you walk altogether ?,N_00 + N_01,1.0,0.75 0.25
There are N_00 candies in a pile on the desk . Each candy comes in a package of N_01 . N_02 candies are added to the pile . How many candies are there in the pile ?,N_00 + N_02,10.0,6.0 15.0 4.0
A group of N_00 friends went into a restaurant . The chef already had N_01 chicken wings cooked but cooked N_02 more for the group . If they each got the same amount how many would each person get ?,( N_00 + N_01 ) / N_00,3.0,3.0 6.0 3.0
"Jerry is at the library helping put away books . There are N_00 book to put away total but a librarian takes N_01 of them and leaves Jerry with the rest . If he can fit N_02 books on a shelf , how many shelves will he need ?",( N_00 - N_01 ) / N_02,9.0,34.0 7.0 3.0
Melanie grew N_00 turnips . Benny grew N_01 turnips . How many turnips did they grow in all ?,N_00 + N_01,252.0,139.0 113.0
Paula has N_00 boxes of peanuts . Each box holds N_01 peanuts . How many peanuts does Paula have ?,N_00 * N_01,24.0,6.0 4.0
"For the school bake sale Carol made N_00 cupcakes . If she sold N_01 of them and then made N_02 more , how many cupcakes would she have ?",N_00 + N_02 - N_01,40.0,19.0 6.0 27.0
"The school cafeteria had N_00 apples . If they used N_01 to make lunch for the students and then bought N_02 more , how many apples would they have ?",N_00 + N_02 - N_01,23.0,12.0 8.0 19.0
"A vase can hold N_00 flowers . If you had N_01 carnations and N_02 roses , how many vases would you need to hold the flowers ?",( N_01 + N_02 ) / N_00,9.0,6.0 7.0 47.0
"While making desserts for a bake sale , Victor used N_00 scoop of brown sugar as well as N_01 scoop of white sugar . How much more brown sugar did Victor use ?",N_00 - N_01,0.375,0.625 0.25
"Will had N_00 dollars . If he spent N_01 bucks on a new game , how many N_02 dollar toys could he buy with the money he had left ?",( N_00 - N_01 ) / N_02,9.0,83.0 47.0 4.0
"Gwen had N_00 math problems and N_01 science problems for homework . If she finished N_02 of the problems at school , how many problems did she have to do for homework ?",N_00 + N_01 - N_02,5.0,18.0 11.0 24.0
"Sarah had N_00 pages of math homework and N_01 pages of reading homework . If each page had N_02 problems on it , how many problems did she have to complete total ?",N_00 * ( N_00 + N_01 ),40.0,4.0 6.0 4.0
Mrs. Hilt saw N_00 bugs eat N_01 flowers each . How many flowers total did the bugs eat ?,N_00 * N_01,6.0,3.0 2.0
Each CD rack holds N_00 CDs . A shelf can hold N_01 racks . How many total CDs can fit on the shelf ?,N_00 * N_01,32.0,8.0 4.0
Helen starts with N_00 oranges . She gets N_01 more from Ann . How many oranges does Helen end with ?,N_00 + N_01,38.0,9.0 29.0
Jeffrey wants to split a collection of bottle caps into groups of N_00 . Jeffrey has N_01 bottle caps . How many groups will be created ?,N_01 / N_00,6.0,2.0 12.0
Mrs. Sheridan has N_00 fish . Her sister gave her N_01 more fish . How many fish does she have now ?,N_00 + N_01,69.0,22.0 47.0
Molly had N_00 candles on her birthday cake . She grew older and got N_01 more on her birthday cake . How old is Molly now ?,N_00 + N_01,20.0,14.0 6.0
There are N_00 baskets . There are N_01 apples in each basket . How many apples are there in all ?,N_00 * N_01,629.0,37.0 17.0
Jessica has N_00 dozen red marbles . Sandy has N_01 times more red marbles than Jessica . How many red marbles does Sandy have ?,N_00 * 12.0 * N_01,144.0,3.0 4.0
"A worksheet had N_00 problems on it . If a teacher had N_01 worksheets to grade and had already graded N_02 of them , how many more problems does she have to grade ?",N_00 * ( N_01 - N_02 ),14.0,2.0 14.0 7.0
The farmer had N_00 apples . The farmer gave N_01 apples to his neighbor . How many apples does the farmer have now ?,N_00 - N_01,39.0,127.0 88.0
Bianca was planting vegetables in her garden . She started with N_00 seeds and planted N_01 of them in the big garden and in each of her small gardens put N_02 seeds each . How many small gardens did Bianca have ?,( N_00 - N_01 ) / N_02,6.0,52.0 40.0 2.0
In fourth grade there were N_00 students at the start of the year . During the year N_01 students left and N_02 new students came to school . How many students were in fourth grade at the end ?,N_00 + N_02 - N_01,48.0,10.0 4.0 42.0
Kelly had N_00 apples . How many more apples does Kelly need to pick to have N_01 apples altogether ?,N_01 - N_00,49.0,56.0 105.0
Johnny practiced for the track team and ran N_00 laps per minute . How many minutes did it take Johnny to run N_01 laps ?,N_01 / N_00,3.33333,3.0 10.0
"Chloe was playing a video game where she scores N_00 points for each treasure she finds . If she found N_01 treasures on the first level and N_02 on the second , what would her score be ?",N_00 * ( N_01 + N_02 ),81.0,9.0 6.0 3.0
Mrs. Hilt saw N_00 bees in the hive . The next day she saw N_01 times that many . How many bees did she see on the second day ?,N_00 * N_01,432.0,144.0 3.0
"Mrs. Heine is buying Valentine ’ s Day treats for her N_00 dogs . If she wants to buy them N_01 heart biscuits each , how many biscuits does she need to buy ?",N_00 * N_01,6.0,2.0 3.0
Sam had N_00 pennies in his bank . He spent N_01 of his pennies . How many pennies does he have now ?,N_00 - N_01,5.0,98.0 93.0
"Bianca and her mom were picking carrots from their garden . Bianca picked N_00 and her mother picked N_01 . If only N_02 of the carrots were good , how many bad carrots did they have ?",N_00 + N_01 - N_02,25.0,26.0 15.0 16.0
Norma starts with N_00 bananas . She loses N_01 . How many bananas does Norma end with ?,N_00 - N_01,2.0,47.0 45.0
"Betty also bought N_00 shiny blue round stones . If N_01 pieces of this stone is in each bracelet , how many bracelets of blue shiny round stones will there be ?",N_00 / N_01,10.0,140.0 14.0
"Michelle began her pizza delivery route with N_00 tank of gas in her car . When she made it back to the pizzeria , N_01 tank of gas was . How much gas did Michelle use ?",N_00 - N_01,0.3333333333333333,0.5 0.16666666666666666
There are N_00 candies in a box . Lisa has N_01 candies in a bag . Diana takes N_02 candies out of the box . How many candies are left in the box ?,N_00 - N_02,82.0,88.0 18.0 6.0
Edward was selling his old games . He started out with N_00 but sold N_01 of them . He packed the rest up putting N_02 games into each box . How many boxes did he have to use ?,( N_00 - N_01 ) / N_02,2.0,35.0 19.0 8.0
Mrs. Hilt ate N_00 apples every hour . How many apples had she eaten at the end of N_01 hours ?,N_00 * N_01,15.0,5.0 3.0
"The number of gears a machine can make varies directly by how long it operates . If it can make N_00 gears in N_01 hours , How many gears can it make in N_02 hours ?",N_00 * N_02 / N_01,2349.0,2088.0 8.0 9.0
"Luke was organizing his baseball cards in a binder with N_00 on each page . If he had N_01 new cards and N_02 old cards to put in the binder , how many pages would he use ?",( N_00 + N_02 ) / N_00,4.0,3.0 3.0 9.0
Melissa has N_00 oranges . John takes N_01 away . How many oranges will Melissa have ?,N_00 - N_01,51.0,70.0 19.0
For homework Amy had N_00 math problems and N_01 spelling problems . If she can finish N_02 problems in an hour how long will it take her to finish all the problems ?,( N_00 + N_01 ) / N_02,6.0,18.0 6.0 4.0
"There were N_00 students riding on the school bus . At the first stop , N_01 students got off of the bus . How many students are left on the bus ?",N_00 - N_01,7.0,10.0 3.0
Cody had N_00 dollars . For his birthday he got N_01 more dollars but spent N_02 on a new game . How much money does he have now ?,N_00 + N_01 - N_02,35.0,45.0 9.0 19.0
"A chef needs to cook N_00 potatoes . He has already cooked N_01 . If each potato takes N_02 minutes to cook , how long will it take him to cook the rest ?",N_02 * ( N_00 - N_01 ),6.0,9.0 7.0 3.0
"A construction company is repaving a damaged road . So far , they have repaved a total of N_00 inches of the road . Today , they repaved N_01 inches of the road . How many inches of the road had they repaved before today ?",N_00 - N_01,4133.0,4938.0 805.0
"Melanie bought a Batman game for $ N_00 , a strategy game for $ N_01 , and a Superman game for $ N_02 . Melanie already owns N_03 games . How much did Melanie spend on video games ?",N_00 + N_01 + N_02,22.58,6.95 7.9 7.73 4.0
Lewis then went to see the oranges being harvested . Lewis found out that they harvest N_00 sacks per day . How many sacks of oranges will they have after N_01 days of harvest ?,N_00 * N_01,498.0,83.0 6.0
"April 's discount flowers was having a sale where each flower was N_00 dollars . If Katie bought N_01 roses and N_02 daisies , how much did she spend ?",N_00 * ( N_01 + N_01 ),60.0,6.0 5.0 5.0
"Dave had to wash N_00 short sleeve shirts and N_01 long sleeve shirts before school . If he had only washed N_02 of them by the time school started , how many did he not wash ?",N_00 + N_01 - N_02,16.0,9.0 27.0 20.0
"Dan spent $ N_00 on a snake toy , and a cage cost him $ N_01 . Dan also found a dollar bill on the ground . What was the total cost of Dan 's purchases ?",N_00 + N_01,26.3,11.76 14.54
Arthur baked N_00 muffins . How many more muffins does Arthur have to bake to have N_01 muffins ?,N_01 - N_00,48.0,35.0 83.0
A new virus is released on the internet . The administrator of a department 's LAN is given N_00 minutes by a manager to estimate the impact . The administrator samples N_01 of the PCs connected to the LAN and finds that N_02 are infected . Use a proportion to estimate the number of infected PCs if there are a total of N_03 PCs connected to the LAN .,N_03 * ( N_02 / N_01 ),126.0,5.0 12.0 7.0 216.0
